gbifID,reference,publisher,rightsHolder
3456398219,https://www.inaturalist.org/photos/174140557,"iNaturalist","Andrea Kreuzhage"
3456398219,https://www.inaturalist.org/photos/174140574,"iNaturalist","Andrea Kreuzhage"
3456397080,https://www.inaturalist.org/photos/175618389,"iNaturalist","Andrea Kreuzhage"
3456376080,https://www.inaturalist.org/photos/173090808,"iNaturalist","Andrea Kreuzhage"
3456376080,https://www.inaturalist.org/photos/173090796,"iNaturalist","Andrea Kreuzhage"
3456376080,https://www.inaturalist.org/photos/173090799,"iNaturalist","Andrea Kreuzhage"
3456344863,https://www.inaturalist.org/photos/176160974,"iNaturalist","Andrea Kreuzhage"
3456344863,https://www.inaturalist.org/photos/176160979,"iNaturalist","Andrea Kreuzhage"
3456251471,https://www.inaturalist.org/photos/175981314,"iNaturalist","James Maughn"
3456212471,https://www.inaturalist.org/photos/173091145,"iNaturalist","Andrea Kreuzhage"
3456212471,https://www.inaturalist.org/photos/173091132,"iNaturalist","Andrea Kreuzhage"
3456212471,https://www.inaturalist.org/photos/173091173,"iNaturalist","Andrea Kreuzhage"
3456212471,https://www.inaturalist.org/photos/173091192,"iNaturalist","Andrea Kreuzhage"
3456191815,https://www.inaturalist.org/photos/174222870,"iNaturalist","Alex Tey"
3456191630,https://www.inaturalist.org/photos/174132285,"iNaturalist","Andrea Kreuzhage"
3456191630,https://www.inaturalist.org/photos/174132270,"iNaturalist","Andrea Kreuzhage"
3456068364,https://www.inaturalist.org/photos/170543871,"iNaturalist","Howard Friedman"
3456066088,https://www.inaturalist.org/photos/163278631,"iNaturalist","atomictoaster"
3455842962,https://www.inaturalist.org/photos/175526393,"iNaturalist","Mira Rae"
3455842962,https://www.inaturalist.org/photos/175526384,"iNaturalist","Mira Rae"
3455795150,https://www.inaturalist.org/photos/170533348,"iNaturalist","Howard Friedman"
3455795150,https://www.inaturalist.org/photos/170533341,"iNaturalist","Howard Friedman"
3455795150,https://www.inaturalist.org/photos/170533372,"iNaturalist","Howard Friedman"
3455795150,https://www.inaturalist.org/photos/170533362,"iNaturalist","Howard Friedman"
3455686389,https://www.inaturalist.org/photos/170437376,"iNaturalist","James Maughn"
3455648240,https://www.inaturalist.org/photos/176069681,"iNaturalist","SuzieSeaOtter"
3455648240,https://www.inaturalist.org/photos/176069704,"iNaturalist","SuzieSeaOtter"
3455648240,https://www.inaturalist.org/photos/176275593,"iNaturalist","SuzieSeaOtter"
3455648240,https://www.inaturalist.org/photos/176069695,"iNaturalist","SuzieSeaOtter"
3455648240,https://www.inaturalist.org/photos/176069686,"iNaturalist","SuzieSeaOtter"
3455648240,https://www.inaturalist.org/photos/176069672,"iNaturalist","SuzieSeaOtter"
3455567033,https://www.inaturalist.org/photos/174593631,"iNaturalist","Simon Willison"
3455565133,https://www.inaturalist.org/photos/172632578,"iNaturalist","Alex Heyman"
3455565133,https://www.inaturalist.org/photos/172632509,"iNaturalist","Alex Heyman"
3455565133,https://www.inaturalist.org/photos/172632532,"iNaturalist","Alex Heyman"
3455565133,https://www.inaturalist.org/photos/172632515,"iNaturalist","Alex Heyman"
3455565133,https://www.inaturalist.org/photos/172632547,"iNaturalist","Alex Heyman"
3455565133,https://www.inaturalist.org/photos/172632505,"iNaturalist","Alex Heyman"
3455565133,https://www.inaturalist.org/photos/172632557,"iNaturalist","Alex Heyman"
3455565133,https://www.inaturalist.org/photos/172632526,"iNaturalist","Alex Heyman"
3455565133,https://www.inaturalist.org/photos/172632567,"iNaturalist","Alex Heyman"
3455565133,https://www.inaturalist.org/photos/172632519,"iNaturalist","Alex Heyman"
